what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425883549829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425883551167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884411094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884598803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884600209
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425884605279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884605629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884607709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425884779505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425884784029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884809716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884810954
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425884811655
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884812008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884814078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884854008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884855394
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425884855923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884856314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884858338
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425884910174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425884913332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884946004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884947385
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425884947999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884948298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425884950407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425885037859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425885039232
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425885039911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425885040209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425885042313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425885140229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425888100274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425888224294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425888264690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425888286456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425888287907
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425888288875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425888289173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425888291284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425888455792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425919101955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425919124265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425919125658
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425919126390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425919126707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425919128802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425919167773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920089675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920111967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920113363
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425920115140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920115438
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920117558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920230353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920230633
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425920231604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920231934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920234005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920245387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920246751
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425920248335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920248627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920250750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425920719223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425920720576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425920737101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920741434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920742814
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425920743461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920743766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920744021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425920856149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425920870190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920878215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920879603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425920983587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920986957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920988583
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425920989266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920989589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425920991660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425921063701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921068776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921070160
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425921071990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921072305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921074386
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921177455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921178842
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425921179396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921179700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921181820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921225567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921538170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425921811272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425923660466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425923663372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425923719136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425923804069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425923805714
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425923812274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425923812570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425923814676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924071831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924073219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924086323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924086504
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425924088077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924088394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924090532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924255915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924257300
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425924258053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924258339
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924260458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924454250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924455620
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425924461391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924461687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924463801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425924610135
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425924612474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924620110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924621770
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425924623064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924623368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924625493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924702746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924704452
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425924704962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924705252
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924707328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425924826774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425924829149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924847589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924848968
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425924850329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924850663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924852786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924892746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924894123
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425924895305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924895666
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425924897786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925213268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925214712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925319315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925320710
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425925322496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925322772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925324859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925461567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1425925461581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925489469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925649132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925650533
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1425925653368
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425925656370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925656671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925658758
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425925685856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925803796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925805180
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425925823493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425925825955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925829416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925831419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925831441
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925831490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425925831493
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425925838467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925902619
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925903770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925920756
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925920996
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425925940474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925943303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925944930
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1425925944934
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1425925944934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925950495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925951451
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425925956106
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425925973626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425925973950
