what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673393704
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425673394202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673394512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673395279
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425673412932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673413211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673413692
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425673417780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673426566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673427557
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425673430465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673476871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673478112
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425673479910
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425673481102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673481419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673482195
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425673488045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673562929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673564177
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425673566248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673566519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673567368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673980265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673981505
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425673982677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673983000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425673983880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425674101943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425674104368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425674118378
