what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647435924
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1453647437390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647437728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647438214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647458958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647460242
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1453647461168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647461525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647462032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453647628850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453647629123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647829255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647829561
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1453647933968
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1453647934613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647965723
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453647966014
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453647990944
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1453648062659
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453648064572
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1453648067290
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453648069454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1453648076596
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453648078411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1453648083662
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453648102103
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453648124225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453648130491
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453648130699
