what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701230765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701289115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425701411324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425701413720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425701415479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425701417060
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425701475497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425701497368
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425701499034
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425701503488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701640025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701641398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701674179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701675419
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1425701679037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701703532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701704773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701709976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701713935
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425701713940
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425701716274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701718294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701719635
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425701719639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701721834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701732337
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1425701732344
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425701736557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701736870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701737386
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425701754144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701764111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701765492
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425701767440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701767749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701768306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425701786114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425701790743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701796325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701797539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701806092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701807354
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425701807834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701808151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701808688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701835359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701836576
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425701838088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701838386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701838936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701868191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701869424
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425701870549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701870875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701871433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425701901653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425701903615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701942039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701943262
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425701944402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701944713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425701945284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702133384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702133632
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1425702138130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702224697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702253238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702253604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702253829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425702274282
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425702294237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425702300509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425702327661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425702331478
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425702334477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425702337256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702339478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702340753
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425702347073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702347384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702347938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702365711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702366926
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425702368080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702368356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702368828
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425702407175
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425702408142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702408427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702409860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702484975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425702932348
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425702932389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425702938984
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425702942741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703025995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703047270
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1425703144194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425703149283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425703162707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703167704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703168953
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425703170357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703170683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703172087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703205464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703206693
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425703208154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703208470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703209875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703271243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703276724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425703277267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703322519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703323745
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425703325069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703325424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703326794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703686516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703687768
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425703688952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703689251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703690668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425703749192
