what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1425291945749
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1425291945749
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1425291945750
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1425291945756
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1425291945757
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1425291945757
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1425291945757
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1425291945758
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1425291945758
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1425291945768
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1425291945768
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1425291945773
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1425291945773
started,bundle,de.innot.avreclipse.core,2.4.0.201203041437,"de.innot.avreclipse.core",1425291945774
os,sysinfo,,,"win32",1425291945776
arch,sysinfo,,,"x86",1425291945776
ws,sysinfo,,,"win32",1425291945776
locale,sysinfo,,,"pl_PL",1425291945776
processors,sysinfo,,,"8",1425291945776
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1425291945776
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1425291945776
java.specification.name,sysinfo,,,"Java Platform API Specification",1425291945776
java.specification.vendor,sysinfo,,,"Oracle Corporation",1425291945776
java.specification.version,sysinfo,,,"1.8",1425291945776
java.vendor,sysinfo,,,"Oracle Corporation",1425291945776
java.version,sysinfo,,,"1.8.0_31",1425291945776
java.vm.info,sysinfo,,,"mixed mode",1425291945776
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1425291945776
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1425291945776
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1425291945776
