what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779158197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779164041
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425779164086
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425779164126
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425779179601
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425779182704
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425779193414
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425779194500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779350858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779351822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779354129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779354152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779354214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779359333
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1425779359356
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1425779359373
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1425779359392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779359421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779361942
error,log,,,"Error starting process.",1425779362507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779362534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779365642
error,log,,,"Error starting process.",1425779376965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779376970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779380166
error,log,,,"Error starting process.",1425779382448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779382452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779383603
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1425779400383
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425779409365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779412365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779414687
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1425779414693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779421577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425779423640
