what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707242406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707242975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707263660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707266877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707292206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707293441
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425707294329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707294648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707295212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707587607
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707588842
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425707589528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707589890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425707590421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425708198753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425708199994
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425708200818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425708201138
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425708201724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425708666936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425708668376
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425708669385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425708669750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425708670289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425710051836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425710989315
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425710991509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711034132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711039386
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425711292389
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425711303498
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425711342683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425711354171
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425711359275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425711365253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1425711378138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1425711378993
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425711539992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425711552677
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425711553983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425711555436
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425711566387
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425711572273
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425711643399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425711645174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711756277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711757610
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425711761928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711762233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711762786
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425711767584
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425711768869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711769170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711770670
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425711779995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711787702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711788988
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425711789764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711790091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711791535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711872734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711874002
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425711877154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711877458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425711878850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425712021722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425712023062
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425712024092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425712024401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425712025867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425712614095
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425712617276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1425712620209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425712622365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1425712625462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425712634786
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425712637074
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425712641894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425712696759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425712697946
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425712832475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425712833867
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425712834732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425712835042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425712836546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425713160303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425713164627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713402263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713403638
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425713404868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713405146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713406665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713489710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713491205
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1425713491865
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425713502757
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425713526067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425713528494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425713532242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713802808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713804230
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425713805504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713805793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713809858
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1425713814558
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425713828514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713832965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713833133
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1425713834733
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425713852434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713855435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713857439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713870219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713871572
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1425713872348
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425713876809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713877123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713881203
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425713882974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713981891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713983269
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425713988392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425713988702
