what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.8.0_65",1453648763266
java.vm.info,sysinfo,,,"mixed mode",1453648763266
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1453648763266
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1453648763266
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1453648763266
java.vm.specification.version,sysinfo,,,"1.8",1453648763266
java.vm.vendor,sysinfo,,,"Oracle Corporation",1453648763266
java.vm.version,sysinfo,,,"25.65-b01",1453648763266
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453648767279
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1453648768861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648769180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648781492
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453648785826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648789191
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1453648789523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648789535
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648809526
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1453648809538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648818927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648824363
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1453648824368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1453648840798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648889181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648914789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648915103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648933742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648933980
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453648983156
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453648984657
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453648984702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648987306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453648987783
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649001094
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1453649041979
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649054013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649059951
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649061558
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649067902
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649067948
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649070286
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1453649078977
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649080894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1453649083305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649118488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649118792
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649128184
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649135026
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649152687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649153033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649158141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649159514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649160474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649161391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649163210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649163657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649175185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649176488
started,bundle,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.ui",1453649177770
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649177779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649181176
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1453649181181
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453649182454
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1453649183770
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1453649184128
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1453649184132
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1453649184132
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1453649184133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649184149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649184661
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649190816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649196200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649197496
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1453649198165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649198494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649198763
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453649207132
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1453649208908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649209181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649209715
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649225602
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453649229851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649242815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649244231
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1453649245985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649246312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649246844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649269099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649387811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649460876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649513463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649543015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453649658414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649754893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755581
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1453649755746
