what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318396963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318446070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318447495
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1426318449100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318449410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318451458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426318492721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426318496504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1426318502173
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426318509498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318581755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1426318581769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318602260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318613685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318616158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318624123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318627682
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1426318629254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318635536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318650868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318662400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318662753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1426318671463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1426318682477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318688193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318697500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318697892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318699294
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1426318702572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318702852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318704903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318759118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318759453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318759713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426318991878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319045391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319047331
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1426319048070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319048358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319050459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319094194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319095627
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1426319096152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319096428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319098527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319210837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319212576
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1426319213804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319214078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319216193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319297342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1426319298750
