what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669073402
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1425669074723
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425669080313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425669260092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669263358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669264295
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669264799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669265318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669361832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669363149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425669369975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669379560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1425669389350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669391719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669391778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1425669396496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1425669396832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1425669397547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1425669398067
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1425669527028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669535019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669538065
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1425669544721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1425669599583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669601717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669604935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669607066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1425669611327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669641561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669642868
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1425669644082
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425669647149
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425669649931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669650207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669651060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669931223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669937681
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1425669937691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669949988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669950397
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425669951905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669952217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425669953048
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1425670138249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425670138529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1425670139443
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1425670146136
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1425670146674
