what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1453664038418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1453664111405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1453664112425
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453664324330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1453664330703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664334048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664346488
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664346504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664346809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1453664346811
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664355112
executed,command,de.innot.avreclipse.ui,2.4.0.201203041437,"de.innot.avreclipse.commands.uploadproject",1453664356028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664356334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664356911
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453664359900
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664362516
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664362563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664366725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664412107
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453664412138
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664415014
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664415021
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664415319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664417539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664419671
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664419715
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664419715
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1453664421243
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664421243
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664424296
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1453664424342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664443792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664445273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664447885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1453664532957
